Id,coord1,coord2,Serol,Year,Month,Day,Week,Site,Region,MetaRegion,MetaRegionB,Sex,Age,UK_Date,Date_continuous
7626,-12.66558,-76.66798,0,2015,10,17,42,LMA4,Lima,Lima,Lima,M,A,17/10/2015,2015.833333
7627,-12.66558,-76.66798,1,2015,10,17,42,LMA4,Lima,Lima,Lima,F,A,17/10/2015,2015.833333
7628,-12.66558,-76.66798,0,2015,10,17,42,LMA4,Lima,Lima,Lima,F,A,17/10/2015,2015.833333
7629,-12.66558,-76.66798,1,2015,10,17,42,LMA4,Lima,Lima,Lima,F,A,17/10/2015,2015.833333
7630,-12.66558,-76.66798,1,2015,10,17,42,LMA4,Lima,Lima,Lima,M,A,17/10/2015,2015.833333
7632,-12.66558,-76.66798,1,2015,10,17,42,LMA4,Lima,Lima,Lima,M,SA,17/10/2015,2015.833333
7633,-12.66558,-76.66798,1,2015,10,17,42,LMA4,Lima,Lima,Lima,F,A,17/10/2015,2015.833333
7634,-12.66558,-76.66798,1,2015,10,17,42,LMA4,Lima,Lima,Lima,F,A,17/10/2015,2015.833333
7636,-12.66558,-76.66798,1,2015,10,18,42,LMA4,Lima,Lima,Lima,F,A,18/10/2015,2015.833333
7637,-12.66558,-76.66798,1,2015,10,18,42,LMA4,Lima,Lima,Lima,M,A,18/10/2015,2015.833333
7639,-12.66558,-76.66798,1,2015,10,18,42,LMA4,Lima,Lima,Lima,M,A,18/10/2015,2015.833333
7640,-12.66558,-76.66798,1,2015,10,18,42,LMA4,Lima,Lima,Lima,F,A,18/10/2015,2015.833333
7642,-11.06,-77.46,0,2015,10,22,43,LMA6,Lima,Lima,Lima,F,A,22/10/2015,2015.833333
7643,-11.06,-77.46,1,2015,10,22,43,LMA6,Lima,Lima,Lima,F,A,22/10/2015,2015.833333
7645,-11.06,-77.46,1,2015,10,22,43,LMA6,Lima,Lima,Lima,M,A,22/10/2015,2015.833333
7646,-11.06,-77.46,1,2015,10,22,43,LMA6,Lima,Lima,Lima,M,SA,22/10/2015,2015.833333
7648,-11.06,-77.46,0,2015,10,22,43,LMA6,Lima,Lima,Lima,F,SA,22/10/2015,2015.833333
7654,-11.06,-77.46,1,2015,10,22,43,LMA6,Lima,Lima,Lima,M,A,22/10/2015,2015.833333
7655,-11.06,-77.46,1,2015,10,22,43,LMA6,Lima,Lima,Lima,M,A,22/10/2015,2015.833333
7656,-11.06,-77.46,0,2015,10,22,43,LMA6,Lima,Lima,Lima,F,A,22/10/2015,2015.833333
7657,-11.06,-77.46,1,2015,10,22,43,LMA6,Lima,Lima,Lima,F,A,22/10/2015,2015.833333
7658,-11.06,-77.46,0,2015,10,22,43,LMA6,Lima,Lima,Lima,M,A,22/10/2015,2015.833333
7659,-11.06,-77.46,1,2015,10,22,43,LMA6,Lima,Lima,Lima,F,A,22/10/2015,2015.833333
7660,-10.64,-77.82,1,2015,10,24,43,LMA5,Lima,Lima,Lima,F,A,24/10/2015,2015.833333
7661,-10.64,-77.82,0,2015,10,24,43,LMA5,Lima,Lima,Lima,F,A,24/10/2015,2015.833333
7662,-10.64,-77.82,1,2015,10,24,43,LMA5,Lima,Lima,Lima,M,A,24/10/2015,2015.833333
7663,-10.64,-77.82,0,2015,10,24,43,LMA5,Lima,Lima,Lima,M,SA,24/10/2015,2015.833333
7665,-10.64,-77.82,0,2015,10,24,43,LMA5,Lima,Lima,Lima,F,A,24/10/2015,2015.833333
7666,-10.64,-77.82,1,2015,10,24,43,LMA5,Lima,Lima,Lima,F,A,24/10/2015,2015.833333
7667,-10.64,-77.82,1,2015,10,24,43,LMA5,Lima,Lima,Lima,F,A,24/10/2015,2015.833333
7668,-10.64,-77.82,1,2015,10,24,43,LMA5,Lima,Lima,Lima,M,A,24/10/2015,2015.833333
7669,-10.64,-77.82,0,2015,10,24,43,LMA5,Lima,Lima,Lima,F,A,24/10/2015,2015.833333
7670,-10.64,-77.82,0,2015,10,24,43,LMA5,Lima,Lima,Lima,F,A,24/10/2015,2015.833333
7671,-10.64,-77.82,1,2015,10,24,43,LMA5,Lima,Lima,Lima,M,A,24/10/2015,2015.833333
7672,-10.64,-77.82,0,2015,10,24,43,LMA5,Lima,Lima,Lima,M,A,24/10/2015,2015.833333
7673,-10.64,-77.82,0,2015,10,24,43,LMA5,Lima,Lima,Lima,F,A,24/10/2015,2015.833333
7674,-10.64,-77.82,0,2015,10,24,43,LMA5,Lima,Lima,Lima,M,SA,24/10/2015,2015.833333
